age,gender,race,highest_grade,tertiary_edu,province_current,province_moved,province_before,province_during
45.0,Man,African/Black,Grade 11,No,,No,,
43.0,Woman,African/Black,Grade 5,,Mpumalanga,No,,
35.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
57.0,Woman,African/Black,Grade 1,,Mpumalanga,No,,
33.0,Man,African/Black,Grade 11,Yes,Mpumalanga,Yes,Mpumalanga,Mpumalanga
46.0,Man,African/Black,Grade 8,,Mpumalanga,No,,
41.0,Woman,African/Black,Grade 6,,Mpumalanga,No,,
55.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
42.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
58.0,Woman,African/Black,Grade 2,,Mpumalanga,No,,
34.0,Woman,African/Black,Grade 12,Yes,Eastern Cape,No,,
37.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
36.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
64.0,Woman,African/Black,Grade 8,,Mpumalanga,No,,
40.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
,Man,African/Black,Grade 10,Yes,Gauteng,No,,
34.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
39.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
43.0,Woman,African/Black,Grade 11,Yes,Gauteng,No,,
41.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
,Woman,African/Black,Grade 5,,Free State,No,,
60.0,Woman,African/Black,Grade 7,,Mpumalanga,No,,
39.0,Man,African/Black,Grade 12,No,Free State,No,,
31.0,Woman,African/Black,Grade 11,No,Free State,No,,
67.0,Woman,African/Black,Grade 7,,Free State,No,,
70.0,Woman,African/Black,Grade 8,,Free State,No,,
79.0,Man,African/Black,Grade 0,,Gauteng,No,,
29.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
50.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
34.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
36.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
68.0,Woman,African/Black,Grade 8,,Gauteng,No,,
30.0,Man,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
28.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
51.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
42.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
50.0,Woman,African/Black,Grade 8,,Gauteng,No,,
52.0,Woman,African/Black,Grade 5,,Limpopo,No,,
