age,gender,race,highest_grade,tertiary_edu,province_current,province_moved,province_before,province_during
33.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
27.0,Woman,African/Black,Grade 12,Yes,North West,No,,
52.0,Woman,African/Black,Grade 9,No,North West,No,,
50.0,Woman,African/Black,Grade 9,No,North West,No,,
83.0,Woman,African/Black,NTC 2,Yes,North West,No,,
33.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
31.0,Man,African/Black,Grade 5,,Northern Cape,No,,
50.0,Woman,African/Black,Grade 7,,Gauteng,No,,
31.0,Woman,African/Black,Grade 7,,Free State,No,,
46.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
50.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
41.0,Man,African/Black,Grade 10,No,Gauteng,No,,
28.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
59.0,Woman,African/Black,Grade 9,No,Free State,No,,
40.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
35.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
68.0,Woman,African/Black,Grade 4,,Free State,No,,
33.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
39.0,Man,African/Black,Grade 12,No,Free State,No,,
30.0,Woman,African/Black,Grade 10,No,Free State,No,,
33.0,Woman,African/Black,Grade 12,No,Free State,No,,
30.0,Man,African/Black,Grade 7,,Free State,No,,
33.0,Man,African/Black,Grade 11,Yes,Free State,No,,
38.0,Woman,African/Black,Grade 11,No,Free State,No,,
29.0,Man,African/Black,Grade 10,No,Free State,No,,
44.0,Woman,African/Black,Grade 1,,Free State,No,,
33.0,Man,African/Black,Grade 12,No,Free State,No,,
53.0,Woman,African/Black,Grade 5,,Free State,No,,
35.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
34.0,Man,African/Black,Grade 12,Yes,Eastern Cape,No,,
65.0,Woman,Coloured,Grade 10,No,Western Cape,No,,
33.0,Man,Coloured,Grade 8,,Western Cape,No,,
47.0,Woman,African/Black,Grade 8,,North West,No,,
30.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
34.0,Woman,African/Black,Grade 6,,North West,No,,
51.0,Woman,African/Black,Grade 10,No,Mpumalanga,No,,
56.0,Man,African/Black,Grade 11,No,Limpopo,No,,
49.0,Woman,African/Black,Grade 12,Yes,Gauteng,Yes,Gauteng,Gauteng
65.0,Woman,African/Black,Grade 8,,Gauteng,No,,
35.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
68.0,Man,African/Black,Grade 7,,North West,No,,
84.0,Woman,African/Black,Grade 5,,Gauteng,No,,
48.0,Man,African/Black,Grade 7,,Gauteng,No,,
38.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
39.0,Woman,African/Black,Grade 10,No,North West,No,,
42.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
59.0,Woman,African/Black,,,Gauteng,No,,
52.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
42.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
75.0,Woman,African/Black,Grade 2,,Northern Cape,No,,
36.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
71.0,Woman,African/Black,Grade 9,No,Gauteng,No,,
74.0,Man,African/Black,Grade 8,,Gauteng,No,,
72.0,Man,African/Black,Grade 5,,Free State,No,,
34.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
35.0,Man,African/Black,Grade 12,Yes,Free State,No,,
45.0,Man,African/Black,Grade 12,No,Free State,No,,
31.0,Man,African/Black,Grade 12,No,Free State,No,,
34.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
39.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
,Man,African/Black,None,,Free State,No,,
40.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
48.0,Man,African/Black,Grade 12,No,Free State,No,,
44.0,Woman,African/Black,Grade 11,No,Free State,No,,
50.0,Woman,African/Black,Grade 12,No,Free State,No,,
56.0,Man,African/Black,Grade 7,,Free State,No,,
39.0,Man,African/Black,Grade 9,No,Free State,No,,
43.0,Woman,African/Black,NTC 3,No,Free State,No,,
78.0,Woman,African/Black,Grade 4,,Free State,No,,
34.0,Man,African/Black,Grade 12,No,Free State,No,,
69.0,Woman,African/Black,Grade 3,,Mpumalanga,No,,
37.0,Man,African/Black,Grade 9,No,Free State,No,,
,Man,African/Black,None,,Free State,No,,
35.0,Man,African/Black,Grade 12,Yes,Free State,No,,
43.0,Man,African/Black,Grade 12,No,Gauteng,No,,
40.0,Man,African/Black,Grade 8,,Gauteng,No,,
48.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
29.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
56.0,Woman,African/Black,Grade 5,,Gauteng,No,,
49.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
28.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
32.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
62.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
29.0,Man,African/Black,Grade 12,Yes,Free State,No,,
31.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
72.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
32.0,Man,African/Black,Grade 11,No,Mpumalanga,No,,
41.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
32.0,Woman,African/Black,Grade 12,,Mpumalanga,No,,
39.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
33.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
45.0,Woman,White,Grade 12,Yes,Mpumalanga,No,,
37.0,Woman,African/Black,Grade 12,No,North West,No,,
41.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
53.0,Woman,African/Black,Grade 5,,Gauteng,No,,
40.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
29.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
51.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
40.0,Woman,African/Black,None,,Gauteng,No,,
36.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
46.0,Man,African/Black,Grade 8,,Gauteng,No,,
46.0,Woman,African/Black,Grade 12,Yes,Western Cape,No,,
36.0,Man,African/Black,Grade 7,,Outside of South Africa,Yes,Mpumalanga,Mpumalanga
39.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
51.0,Man,White,Grade 12,Yes,Gauteng,No,,
,Woman,African/Black,Grade 8,,Limpopo,No,,
56.0,Man,African/Black,Grade 8,,KwaZulu-Natal,No,,
36.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
39.0,Woman,African/Black,Grade 11,Yes,Gauteng,No,,
39.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
37.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
,Woman,African/Black,Grade 10,No,Limpopo,No,,
42.0,Man,African/Black,Grade 12,No,Gauteng,No,,
39.0,Woman,African/Black,Grade 7,,Gauteng,No,,
33.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
37.0,Woman,Coloured,Grade 11,Yes,Gauteng,No,,
38.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
59.0,Man,African/Black,Grade 12,Yes,Limpopo,No,,
30.0,Man,White,Grade 12,Yes,Gauteng,No,,
78.0,Man,White,Grade 12,Yes,Western Cape,No,,
76.0,Woman,White,Grade 12,No,Western Cape,No,,
31.0,Woman,African/Black,NCV 3,Yes,Mpumalanga,No,,
53.0,Woman,African/Black,Grade 5,,Mpumalanga,No,,
50.0,Man,African/Black,Grade 8,,Mpumalanga,No,,
81.0,Woman,African/Black,Grade 6,,Gauteng,No,,
48.0,Woman,African/Black,Grade 5,,KwaZulu-Natal,No,,
49.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
36.0,Man,African/Black,Grade 9,No,Gauteng,No,,
30.0,Man,White,Grade 11,No,North West,No,,
,Man,African/Black,Grade 0,,Limpopo,No,,
29.0,Woman,White,Grade 12,Yes,Gauteng,No,,
81.0,Woman,White,Grade 12,Yes,Gauteng,No,,
59.0,Woman,White,Grade 12,Yes,Gauteng,No,,
46.0,Woman,African/Black,Grade 9,No,Mpumalanga,Yes,Mpumalanga,Mpumalanga
41.0,Woman,African/Black,Grade 9,No,Limpopo,No,,
62.0,Man,African/Black,Grade 6,,North West,No,,
48.0,Woman,African/Black,Grade 12,No,North West,No,,
52.0,Woman,African/Black,Grade 10,No,Northern Cape,No,,
58.0,Man,African/Black,Grade 6,,Northern Cape,No,,
31.0,Man,African/Black,Grade 12,Yes,Northern Cape,No,,
39.0,Woman,African/Black,Grade 11,No,Northern Cape,No,,
52.0,Man,African/Black,Grade 7,,Northern Cape,Yes,Northern Cape,Northern Cape
48.0,Woman,African/Black,Grade 11,No,North West,No,,
65.0,Woman,African/Black,Grade 11,No,Northern Cape,No,,
64.0,Woman,African/Black,Grade 10,No,Northern Cape,No,,
29.0,Woman,African/Black,Grade 12,Yes,Northern Cape,No,,
43.0,Woman,African/Black,Grade 12,Yes,North West,No,,
51.0,Man,African/Black,Grade 12,Yes,Northern Cape,No,,
38.0,Woman,African/Black,Grade 11,Yes,Northern Cape,No,,
63.0,Man,African/Black,Grade 4,,Northern Cape,Yes,Northern Cape,Northern Cape
32.0,Woman,African/Black,Grade 12,No,Northern Cape,No,,
68.0,Woman,African/Black,Grade 8,,Northern Cape,No,,
34.0,Woman,African/Black,NTC 3,Yes,Gauteng,No,,
,Woman,African/Black,None,,Northern Cape,No,,
45.0,Woman,African/Black,Grade 10,No,Northern Cape,No,,
31.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
63.0,Man,African/Black,None,,Mpumalanga,No,,
48.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
48.0,Man,African/Black,Grade 10,No,Limpopo,No,,
39.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
47.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
28.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
34.0,Man,African/Black,Grade 12,No,Free State,No,,
30.0,Man,African/Black,Grade 12,No,Free State,No,,
29.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
44.0,Woman,African/Black,Grade 10,No,Free State,No,,
29.0,Woman,African/Black,Grade 11,No,Free State,No,,
33.0,Woman,African/Black,Grade 10,No,Free State,No,,
54.0,Woman,African/Black,Grade 7,,Free State,No,,
33.0,Man,African/Black,Grade 12,No,Gauteng,No,,
74.0,Woman,African/Black,Grade 4,,Gauteng,No,,
45.0,Woman,African/Black,Grade 7,,Free State,No,,
34.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
44.0,Man,African/Black,Grade 12,No,Free State,Yes,Free State,Free State
55.0,Woman,African/Black,Grade 6,,Free State,No,,
56.0,Woman,African/Black,Grade 10,No,Free State,No,,
29.0,Man,African/Black,Grade 12,No,Limpopo,No,,
28.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
40.0,Man,African/Black,Grade 11,Yes,Gauteng,No,,
77.0,Man,African/Black,Grade 8,,Limpopo,No,,
53.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
35.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
44.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
41.0,Woman,African/Black,Grade 3,,Limpopo,No,,
56.0,Woman,African/Black,Grade 9,No,North West,No,,
58.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
51.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
53.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
28.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
43.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
58.0,Woman,African/Black,Grade 10,No,Free State,No,,
49.0,Woman,African/Black,Grade 10,No,Free State,No,,
48.0,Woman,African/Black,Grade 10,No,Free State,No,,
61.0,Man,African/Black,Grade 7,,Free State,No,,
27.0,Man,African/Black,Grade 12,No,Free State,No,,
29.0,Woman,African/Black,Grade 12,Yes,Free State,No,,
52.0,Woman,African/Black,Grade 7,,Free State,No,,
33.0,Woman,African/Black,Grade 11,Yes,Free State,No,,
31.0,Woman,African/Black,Grade 12,No,Free State,No,,
34.0,Woman,African/Black,Grade 10,No,Free State,No,,
44.0,Man,African/Black,Grade 8,,Free State,No,,
73.0,Man,African/Black,Grade 6,,Free State,No,,
68.0,Man,African/Black,,,Free State,No,,
33.0,Woman,African/Black,Grade 12,No,North West,No,,
32.0,Man,African/Black,Grade 11,No,Limpopo,No,,
45.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
37.0,Woman,African/Black,Grade 8,,Free State,No,,
56.0,Man,African/Black,Grade 8,,Limpopo,No,,
48.0,Man,African/Black,Grade 11,Yes,Limpopo,No,,
37.0,Woman,African/Black,Grade 7,,North West,No,,
42.0,Woman,Coloured,Grade 8,,North West,No,,
85.0,Woman,African/Black,Grade 6,,North West,No,,
31.0,Man,African/Black,Grade 12,Yes,Free State,No,,
38.0,Woman,African/Black,Grade 10,No,Limpopo,No,,
52.0,Woman,African/Black,Grade 7,,Limpopo,No,,
55.0,Woman,African/Black,Grade 11,No,North West,No,,
41.0,Man,African/Black,Grade 12,No,North West,No,,
61.0,Woman,African/Black,Grade 2,,North West,No,,
36.0,Man,African/Black,Grade 10,No,North West,No,,
33.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
48.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
38.0,Man,African/Black,Grade 7,,North West,No,,
40.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
34.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
32.0,Man,African/Black,Grade 12,Yes,Gauteng,Yes,Gauteng,Gauteng
39.0,Man,African/Black,Grade 12,No,Gauteng,No,,
29.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
51.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
63.0,Woman,African/Black,Grade 8,,Gauteng,No,,
30.0,Man,African/Black,Grade 12,No,Gauteng,No,,
72.0,Woman,African/Black,Grade 5,,Free State,No,,
29.0,Man,African/Black,Grade 12,Yes,Free State,No,,
31.0,Man,African/Black,Grade 11,Yes,Gauteng,No,,
65.0,Woman,African/Black,Grade 7,,Gauteng,No,,
32.0,Woman,African/Black,Grade 12,No,Free State,No,,
40.0,Man,African/Black,Grade 12,Yes,Free State,No,,
49.0,Woman,African/Black,Grade 10,No,Free State,No,,
45.0,Man,African/Black,Grade 9,No,Free State,No,,
58.0,Man,African/Black,Grade 10,No,Free State,No,,
33.0,Woman,African/Black,Grade 12,No,Free State,No,,
32.0,Woman,African/Black,Grade 12,No,Free State,No,,
43.0,Woman,African/Black,Grade 10,No,Free State,No,,
47.0,Man,African/Black,Grade 8,,Free State,No,,
29.0,Man,African/Black,Grade 12,No,Free State,No,,
58.0,Woman,African/Black,Grade 12,No,Free State,No,,
31.0,Man,African/Black,Grade 12,No,Free State,No,,
31.0,Man,African/Black,Grade 10,No,Free State,No,,
42.0,Man,African/Black,Grade 10,No,Free State,No,,
50.0,Man,African/Black,Grade 12,No,Free State,No,,
50.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
70.0,Man,African/Black,Grade 12,Yes,Limpopo,No,,
28.0,Man,African/Black,Grade 12,Yes,Limpopo,No,,
33.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
51.0,Woman,African/Black,Grade 8,,Limpopo,No,,
,Woman,African/Black,Grade 10,No,Limpopo,No,,
38.0,Man,African/Black,Grade 8,,Mpumalanga,No,,
37.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
29.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
33.0,Man,African/Black,Grade 12,Yes,Limpopo,Yes,Mpumalanga,Mpumalanga
69.0,Woman,African/Black,None,,Limpopo,No,,
36.0,Woman,African/Black,Grade 9,No,Limpopo,No,,
33.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
,Man,African/Black,Grade 3,,Limpopo,No,,
66.0,Man,African/Black,Grade 9,No,Gauteng,No,,
31.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
29.0,Man,African/Black,Grade 12,No,Gauteng,Yes,Gauteng,Free State
46.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
28.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
74.0,Man,African/Black,None,,Free State,Yes,Free State,Free State
64.0,Woman,Asian/Indian,Grade 10,Yes,Northern Cape,No,,
58.0,Woman,Coloured,Grade 6,,Northern Cape,No,,
58.0,Man,African/Black,Grade 9,No,Northern Cape,No,,
40.0,Woman,African/Black,Grade 12,No,Northern Cape,No,,
52.0,Woman,African/Black,Grade 11,Yes,Northern Cape,No,,
45.0,Woman,African/Black,Grade 11,No,Northern Cape,No,,
64.0,Man,Coloured,Grade 9,No,Northern Cape,No,,
52.0,Man,African/Black,None,,Northern Cape,No,,
46.0,Man,African/Black,None,,Northern Cape,No,,
61.0,Woman,African/Black,Grade 5,,Northern Cape,No,,
32.0,Man,African/Black,Grade 12,No,Northern Cape,No,,
70.0,Man,White,Grade 12,Yes,Northern Cape,No,,
,Man,African/Black,Grade 1,,Mpumalanga,No,,
53.0,Woman,African/Black,Grade 11,No,Northern Cape,No,,
41.0,Woman,Coloured,Grade 10,No,Northern Cape,No,,
37.0,Man,African/Black,Grade 12,No,Free State,No,,
54.0,Woman,African/Black,Grade 7,,Free State,No,,
32.0,Man,African/Black,Grade 9,No,Free State,No,,
33.0,Man,African/Black,Grade 10,No,Free State,No,,
62.0,Woman,African/Black,Grade 9,No,Free State,No,,
45.0,Woman,African/Black,Grade 11,No,Free State,No,,
59.0,Man,African/Black,Grade 7,,Free State,No,,
53.0,Woman,African/Black,Grade 10,No,Free State,No,,
73.0,Woman,African/Black,None,,Free State,No,,
34.0,Man,African/Black,Grade 10,No,Free State,No,,
46.0,Woman,Coloured,Grade 12,Yes,Northern Cape,No,,
44.0,Man,African/Black,Grade 11,No,Gauteng,No,,
40.0,Man,African/Black,Grade 12,No,Gauteng,No,,
32.0,Man,African/Black,Grade 11,Yes,Mpumalanga,No,,
34.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
30.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
72.0,Woman,African/Black,Grade 8,,Gauteng,No,,
32.0,Man,African/Black,Grade 9,No,Gauteng,No,,
48.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
33.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
38.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
27.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
27.0,Man,African/Black,Grade 11,No,Mpumalanga,No,,
42.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
68.0,Man,African/Black,Grade 5,,Mpumalanga,No,,
35.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
,Woman,African/Black,Grade 1,,Mpumalanga,No,,
31.0,Man,African/Black,Grade 10,No,Mpumalanga,No,,
31.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
37.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
38.0,Woman,African/Black,Grade 6,,Mpumalanga,No,,
47.0,Man,African/Black,Grade 9,Yes,Mpumalanga,No,,
32.0,Woman,African/Black,Grade 9,No,Mpumalanga,No,,
,Woman,African/Black,None,,Mpumalanga,No,,
39.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
,Man,African/Black,None,,Outside of South Africa,No,,
31.0,Woman,African/Black,Grade 9,No,Mpumalanga,No,,
38.0,Woman,African/Black,Grade 8,,Mpumalanga,No,,
34.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
37.0,Man,African/Black,Grade 7,,Limpopo,No,,
40.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
37.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
63.0,Man,African/Black,None,,Limpopo,No,,
,Man,African/Black,Grade 7,,Mpumalanga,No,,
56.0,Man,African/Black,Grade 2,,Mpumalanga,No,,
44.0,Man,African/Black,Grade 8,,KwaZulu-Natal,No,,
50.0,Man,African/Black,None,,KwaZulu-Natal,No,,
40.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
,Man,African/Black,Grade 7,,KwaZulu-Natal,Yes,KwaZulu-Natal,KwaZulu-Natal
34.0,Woman,African/Black,Grade 12,No,KwaZulu-Natal,No,,
72.0,Woman,African/Black,Grade 2,,KwaZulu-Natal,No,,
58.0,Woman,African/Black,Grade 6,,KwaZulu-Natal,No,,
67.0,Man,African/Black,Grade 4,,KwaZulu-Natal,No,,
47.0,Man,African/Black,Grade 12,Yes,KwaZulu-Natal,Yes,KwaZulu-Natal,KwaZulu-Natal
43.0,Man,African/Black,Grade 10,Yes,KwaZulu-Natal,No,,
38.0,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
33.0,Woman,African/Black,Grade 12,Yes,Gauteng,Yes,KwaZulu-Natal,Gauteng
51.0,Woman,African/Black,None,,KwaZulu-Natal,No,,
28.0,Woman,African/Black,Grade 12,No,KwaZulu-Natal,No,,
32.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
47.0,Man,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
31.0,Man,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
59.0,Woman,African/Black,Grade 5,,KwaZulu-Natal,No,,
39.0,Woman,African/Black,Grade 12,No,KwaZulu-Natal,No,,
44.0,Woman,African/Black,Grade 9,No,KwaZulu-Natal,No,,
44.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
31.0,Woman,African/Black,Grade 11,No,KwaZulu-Natal,No,,
34.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
29.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
40.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
68.0,Man,African/Black,Grade 4,,KwaZulu-Natal,No,,
30.0,Woman,African/Black,Grade 11,No,KwaZulu-Natal,No,,
43.0,Woman,African/Black,Grade 7,,KwaZulu-Natal,No,,
29.0,Woman,African/Black,Grade 12,No,KwaZulu-Natal,No,,
36.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
61.0,Woman,African/Black,None,,KwaZulu-Natal,No,,
,Woman,African/Black,None,,KwaZulu-Natal,No,,
27.0,Woman,African/Black,Grade 12,No,KwaZulu-Natal,No,,
49.0,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
46.0,Woman,African/Black,Grade 11,No,KwaZulu-Natal,No,,
49.0,Man,African/Black,Grade 10,No,KwaZulu-Natal,No,,
,Woman,African/Black,None,,KwaZulu-Natal,No,,
66.0,Woman,African/Black,Grade 3,,KwaZulu-Natal,No,,
37.0,Woman,African/Black,None,,KwaZulu-Natal,No,,
69.0,Woman,African/Black,,,KwaZulu-Natal,No,,
28.0,Man,African/Black,Grade 11,No,KwaZulu-Natal,No,,
31.0,Man,African/Black,Grade 10,Yes,KwaZulu-Natal,No,,
,Woman,African/Black,Grade 9,No,KwaZulu-Natal,No,,
58.0,Woman,African/Black,Grade 3,,KwaZulu-Natal,No,,
78.0,Man,African/Black,Grade 4,,KwaZulu-Natal,No,,
32.0,Woman,African/Black,Grade 12,No,KwaZulu-Natal,No,,
37.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
34.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
48.0,Woman,African/Black,Grade 7,,KwaZulu-Natal,No,,
50.0,Man,African/Black,Grade 4,,KwaZulu-Natal,No,,
66.0,Man,African/Black,Grade 1,,KwaZulu-Natal,No,,
58.0,Woman,African/Black,Grade 5,,KwaZulu-Natal,No,,
,Woman,African/Black,None,,KwaZulu-Natal,No,,
57.0,Man,African/Black,Grade 7,,KwaZulu-Natal,No,,
31.0,Man,African/Black,Grade 11,Yes,KwaZulu-Natal,No,,
32.0,Woman,African/Black,Grade 11,No,KwaZulu-Natal,No,,
,Man,African/Black,Grade 4,,KwaZulu-Natal,No,,
47.0,Woman,African/Black,Grade 6,,KwaZulu-Natal,No,,
48.0,Woman,African/Black,Grade 9,No,KwaZulu-Natal,No,,
27.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
29.0,Woman,African/Black,Grade 10,Yes,KwaZulu-Natal,No,,
78.0,Woman,African/Black,Grade 2,,KwaZulu-Natal,No,,
,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
69.0,Woman,African/Black,Grade 2,,KwaZulu-Natal,No,,
29.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
33.0,Man,African/Black,Grade 11,No,KwaZulu-Natal,No,,
29.0,Woman,African/Black,Grade 12,No,KwaZulu-Natal,No,,
45.0,Woman,African/Black,Grade 7,,KwaZulu-Natal,No,,
28.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,Yes,Gauteng,KwaZulu-Natal
38.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
57.0,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
31.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
32.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
77.0,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
48.0,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
49.0,Man,African/Black,Grade 10,No,KwaZulu-Natal,No,,
47.0,Woman,African/Black,Grade 5,,KwaZulu-Natal,No,,
34.0,Man,African/Black,Grade 11,Yes,KwaZulu-Natal,No,,
47.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
34.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
41.0,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
29.0,Man,White,Grade 12,Yes,Gauteng,No,,
33.0,Woman,African/Black,Grade 12,No,KwaZulu-Natal,No,,
50.0,Woman,African/Black,Grade 3,,KwaZulu-Natal,No,,
51.0,Woman,African/Black,Grade 3,,KwaZulu-Natal,No,,
37.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
62.0,Man,African/Black,Grade 8,,KwaZulu-Natal,No,,
39.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
62.0,Woman,African/Black,Grade 3,,KwaZulu-Natal,No,,
67.0,Man,African/Black,Grade 10,No,KwaZulu-Natal,No,,
51.0,Woman,African/Black,Grade 7,,KwaZulu-Natal,No,,
32.0,Man,African/Black,Grade 11,No,KwaZulu-Natal,No,,
32.0,Woman,African/Black,Grade 6,,KwaZulu-Natal,No,,
30.0,Woman,African/Black,Grade 11,Yes,KwaZulu-Natal,No,,
41.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
65.0,Man,African/Black,Grade 3,,KwaZulu-Natal,No,,
,Woman,African/Black,Grade 3,,KwaZulu-Natal,No,,
35.0,Woman,African/Black,Grade 11,No,KwaZulu-Natal,No,,
32.0,Man,African/Black,Grade 11,No,KwaZulu-Natal,No,,
32.0,Woman,African/Black,Grade 11,No,KwaZulu-Natal,No,,
39.0,Man,African/Black,Grade 8,,KwaZulu-Natal,No,,
39.0,Woman,African/Black,Grade 11,No,KwaZulu-Natal,No,,
63.0,Man,African/Black,Grade 7,,KwaZulu-Natal,No,,
49.0,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
28.0,Man,African/Black,Grade 11,Yes,KwaZulu-Natal,No,,
34.0,Woman,African/Black,Grade 9,No,KwaZulu-Natal,No,,
52.0,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
47.0,Woman,African/Black,Grade 1,,KwaZulu-Natal,No,,
,Woman,African/Black,Grade 0,,KwaZulu-Natal,No,,
